1.000000000000e-20,1.150576289573e+02,1.000000000000e-20,2.612029446336e+02,1.000000000000e-20,5.240794726459e+02,1.327786370267e-06,1.779673235483e+03,3.492257225853e-08,5.990595446713e+02,1.000000000000e-20,1.000000000000e-20,0.000000000000e+00,1.000000000000e-20,1.461941886251e-04,2.396357990594e+06,9.984325744522e+03,9.984325744522e+03,4.992162872261e+06,1.000000000000e-20,2.791229296036e-19,5.482771831500e-17,1.000000000000e-20,-3.304811819895e-05,2.026818126138e+03,4.163463792618e+02,1.273515567181e-209,3.359696136912e-57,1.078307180408e-10,1.779673235483e+03,1.000000000000e-20,1.000000000000e-20,
1.000000000000e-20,1.127116753214e+02,1.000000000000e-20,2.545125998403e+02,1.000000000000e-20,5.134543017876e+02,1.372146100110e-06,1.792388020903e+03,3.474181220194e-08,5.990595446713e+02,1.000000000000e-20,1.000000000000e-20,0.000000000000e+00,1.000000000000e-20,1.554900596495e-04,2.355265882339e+06,9.847108540482e+03,9.984325744522e+03,4.906549958059e+06,1.000000000000e-20,2.733886558077e-19,5.296331148004e-17,1.000000000000e-20,-3.478434233035e-05,2.003671245642e+03,4.290067614412e+02,2.050408451626e-202,4.134401149918e-57,1.078307180408e-10,1.792388020903e+03,1.000000000000e-20,1.000000000000e-20,
1.000000000000e-20,1.104131282325e+02,1.000000000000e-20,2.479936187869e+02,1.000000000000e-20,5.030434332004e+02,1.417987646114e-06,1.805263552155e+03,3.456198776366e-08,5.990595446713e+02,1.000000000000e-20,1.000000000000e-20,0.000000000000e+00,1.000000000000e-20,1.653770158525e-04,2.314878554018e+06,9.711777148420e+03,9.984325744522e+03,4.822405259391e+06,1.000000000000e-20,2.677721863641e-19,5.116230346876e-17,1.000000000000e-20,-3.661178107297e-05,1.980788709574e+03,4.416053845629e+02,1.877627012437e-195,5.126475979549e-57,1.078307180408e-10,1.805263552155e+03,1.000000000000e-20,1.000000000000e-20,
1.000000000000e-20,1.081610326644e+02,1.000000000000e-20,2.416416122330e+02,1.000000000000e-20,4.928425519342e+02,1.465360494499e-06,1.818302110687e+03,3.438309410091e-08,5.990595446713e+02,1.000000000000e-20,1.000000000000e-20,0.000000000000e+00,1.000000000000e-20,1.758926418443e-04,2.275183920295e+06,9.578305651128e+03,9.984325744522e+03,4.739703597148e+06,1.000000000000e-20,2.622711011120e-19,4.942253841541e-17,1.000000000000e-20,-3.853522630002e-05,1.958167499039e+03,4.541422486269e+02,9.968838219481e-189,6.405614582651e-57,1.078307180408e-10,1.818302110687e+03,1.000000000000e-20,1.000000000000e-20,
1.000000000000e-20,1.059544528145e+02,1.000000000000e-20,2.354523033624e+02,1.000000000000e-20,4.828474298776e+02,1.514315783195e-06,1.831505993375e+03,3.420512639597e-08,5.990595446713e+02,1.000000000000e-20,1.000000000000e-20,0.000000000000e+00,1.000000000000e-20,1.870769120817e-04,2.236170103114e+06,9.446668487585e+03,9.984325744522e+03,4.658420224031e+06,1.000000000000e-20,2.568830296100e-19,4.774193376406e-17,1.000000000000e-20,-4.055972123422e-05,1.935804629620e+03,4.666173536332e+02,3.126051595255e-182,8.066358363335e-57,1.078307180408e-10,1.831505993375e+03,1.000000000000e-20,1.000000000000e-20,
1.000000000000e-20,1.037924717165e+02,1.000000000000e-20,2.294215249036e+02,1.000000000000e-20,4.730539240110e+02,1.564906356902e-06,1.844877511488e+03,3.402807985606e-08,5.990595446713e+02,1.000000000000e-20,1.000000000000e-20,0.000000000000e+00,1.000000000000e-20,1.989723428283e-04,2.197825428144e+06,9.316840448063e+03,9.984325744522e+03,4.578530817142e+06,1.000000000000e-20,2.516056501148e-19,4.611847777575e-17,1.000000000000e-20,-4.269057293380e-05,1.913697150983e+03,4.790306995818e+02,5.894411505919e-176,1.023777908047e-56,1.078307180408e-10,1.844877511488e+03,1.000000000000e-20,1.000000000000e-20,
1.000000000000e-20,1.016741908621e+02,1.000000000000e-20,2.235452163239e+02,1.000000000000e-20,4.634579746941e+02,1.617186823988e-06,1.858418989566e+03,3.385194971321e-08,5.990595446713e+02,1.000000000000e-20,1.000000000000e-20,0.000000000000e+00,1.000000000000e-20,2.116241537774e-04,2.160138421282e+06,9.188796669295e+03,9.984325744522e+03,4.500011470709e+06,1.000000000000e-20,2.464366885808e-19,4.455022712032e-17,1.000000000000e-20,-4.493336425554e-05,1.891842146487e+03,4.913822864726e+02,6.799694353559e-170,1.309723723088e-56,1.078307180408e-10,1.858418989566e+03,1.000000000000e-20,1.000000000000e-20,
1.000000000000e-20,9.959872982900e+01,1.000000000000e-20,2.178194210952e+02,1.000000000000e-20,4.540556039881e+02,1.671213615279e-06,1.872132764215e+03,3.367673122413e-08,5.990595446713e+02,1.000000000000e-20,1.000000000000e-20,0.000000000000e+00,1.000000000000e-20,2.250804399517e-04,2.123097805228e+06,9.062512629720e+03,9.984325744522e+03,4.422838688929e+06,1.000000000000e-20,2.413739176802e-19,4.303530455023e-17,1.000000000000e-20,-4.729396352413e-05,1.870236732802e+03,5.036721143057e+02,4.879770896044e-164,1.689005221519e-56,1.078307180408e-10,1.872132764215e+03,1.000000000000e-20,1.000000000000e-20,
1.000000000000e-20,9.756522591715e+01,1.000000000000e-20,2.122402840306e+02,1.000000000000e-20,4.448429140120e+02,1.727045044797e-06,1.886021182809e+03,3.350241967008e-08,5.990595446713e+02,1.000000000000e-20,1.000000000000e-20,0.000000000000e+00,1.000000000000e-20,2.393923545331e-04,2.086692496101e+06,8.937964144779e+03,9.984325744522e+03,4.346989378941e+06,1.000000000000e-20,2.364151558430e-19,4.157189665339e-17,1.000000000000e-20,-4.977852773849e-05,1.848878059524e+03,5.159001830811e+02,2.214013635401e-158,2.195780022949e-56,1.078307180408e-10,1.886021182809e+03,1.000000000000e-20,1.000000000000e-20,
1.000000000000e-20,9.557283379217e+01,1.000000000000e-20,2.068040486880e+02,1.000000000000e-20,4.358160853313e+02,1.784741372527e-06,1.900086602097e+03,3.332901035674e-08,5.990595446713e+02,1.000000000000e-20,1.000000000000e-20,0.000000000000e+00,1.000000000000e-20,2.546143033184e-04,2.050911600128e+06,8.815127362292e+03,9.984325744522e+03,4.272440843916e+06,1.000000000000e-20,2.315582663175e-19,4.015825168247e-17,1.000000000000e-20,-5.239348992120e-05,1.827763308805e+03,5.280664927987e+02,6.450647651021e-153,2.877928094873e-56,1.078307180408e-10,1.900086602097e+03,1.000000000000e-20,1.000000000000e-20,
